,company_name,industry,location,mood,frequence,salary_month,interview_num,salary_num,account
0,裕隆集團_納智捷汽車股份有限公司,其他,苗栗,平常心,偶爾加班,39k,18,20,"9,800,000,000"
1,Luxgen_北智捷汽車股份有限公司,汽機車及其零配件用品／批發業,臺北,平常心,偶爾加班,39.8k,6,7,"185,000,000"
2,LUXGEN納智捷汽車_中智捷汽車股份有限公司,其他,臺中,有苦說不出,常常加班,34.1k,6,13,"106,000,000"
3,裕隆集團_裕隆汽車製造股份有限公司,汽車及其零件製造業,苗栗,有苦說不出,偶爾加班,41.9k,90,136,"20,000,000,000"
4,裕隆集團_裕隆日產汽車股份有限公司,汽車及其零件製造業,苗栗,平常心,偶爾加班,43.9k,36,88,"6,000,000,000"
5,中華汽車工業股份有限公司,汽車及其零件製造業,臺北,平常心,偶爾加班,40.2k,110,141,"18,000,000,000"
6,三陽工業股份有限公司,汽車及其零件製造業,新竹,平常心,很少加班,38.6k,91,89,"9,500,000,000"
7,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,汽車及其零件製造業,桃園,平常心,偶爾加班,56.6k,48,32,"790,547,770"
8,TOYOTA 製造商_國瑞汽車股份有限公司,汽車及其零件製造業,桃園,平常心,偶爾加班,38.3k,74,36,"3,460,000,000"
9,台灣本田汽車股份有限公司,其他,屏東,平常心,偶爾加班,29.4k,16,28,"2,101,000,000"
10,成運汽車製造股份有限公司,汽車及其零件製造業,屏東,還算愉快,很少加班,52k,1,9,"3,000,000,000"
11,華德動能科技股份有限公司,其他,臺北,有苦說不出,偶爾加班,37.5k,10,15,"1,500,000,000"
12,鴻華先進科技股份有限公司,其他,新北,有苦說不出,偶爾加班,56.7k,11,19,"19,600,000,000"
13,為升電裝工業股份有限公司,汽車及其零件製造業,彰化,平常心,偶爾加班,37k,36,43,"2,000,000,000"
14,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,半導體製造業,桃園,平常心,偶爾加班,59.2k,683,653,"91,558,241,760"
15,Corning_台灣康寧顯示玻璃股份有限公司,玻璃及玻璃製品製造業,臺中,平常心,偶爾加班,65.8k,197,126,"70,689,254,000"
16,長春石油化學股份有限公司,化學原料製造業,臺北,有苦說不出,偶爾加班,49.8k,84,54,"7,151,862,870"
17,友達光電股份有限公司,光學器材製造業,新竹,平常心,偶爾加班,49.6k,1094,1017,"120,000,000,000"
18,捷安特 YouBike_巨大機械工業股份有限公司,自行車及其零件製造業,臺中,平常心,偶爾加班,37.6k,73,176,"4,950,000,000"
19,力積電子股份有限公司,其他,新竹,平常心,很少加班,55.1k,20,38,"1,000,000,000"
20,華邦電子股份有限公司,IC設計相關業,臺中,平常心,偶爾加班,56.9k,197,275,"67,000,000,000"
21,大立光電股份有限公司,光學器材製造業,臺中,有苦說不出,常常加班,39.9k,183,489,"2,000,000,000"
22,寶成工業股份有限公司,鞋類製造業,彰化,平常心,偶爾加班,47.8k,364,462,"45,000,000,000"
23,TSMC_台灣積體電路製造股份有限公司（台積電）,半導體製造業,新竹,有苦說不出,常常加班,52.7k,2179,3265,"280,500,000,000"
24,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,臺北,有苦說不出,偶爾加班,37.6k,25,82,"1,500,000,000"
25,裕融企業股份有限公司,其他,臺北,有苦說不出,偶爾加班,46k,20,45,"7,500,000,000"
26,和泰汽車股份有限公司,其他汽機車相關業,臺北,平常心,偶爾加班,41.8k,59,235,"6,000,000,000"
27,中華賓士汽車股份有限公司,其他,臺北,平常心,偶爾加班,35.4k,15,40,"600,000,000"
28,汎德永業汽車股份有限公司,汽機車及其零配件用品／批發業,臺北,有苦說不出,偶爾加班,32.8k,47,98,"1,000,000,000"
29,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,汽機車及其零配件／用品零售業,臺北,平常心,偶爾加班,36.7k,33,84,"580,000,000"
30,匯豐汽車股份有限公司,汽車及其零件製造業,臺北,平常心,偶爾加班,33.8k,55,71,"3,445,218,080"
31,台灣電力股份有限公司,電力供應業,臺北,平常心,很少加班,44.2k,136,52,"600,000,000,000"
32,鴻海精密工業股份有限公司,消費性電子產品製造業,新北,平常心,偶爾加班,55.7k,910,796,"180,000,000,000"
33,國泰世華商業銀行股份有限公司,銀行業,臺北,平常心,偶爾加班,41.7k,436,972,"108,598,655,270"
34,台北富邦商業銀行股份有限公司,銀行業,臺北,平常心,偶爾加班,41.4k,219,215,"180,000,000,000"
35,台灣中油股份有限公司,燃料零售業,高雄,平常心,很少加班,32.1k,249,217,"130,100,000,000"
36,奧美廣告股份有限公司,廣告行銷公關業,臺北,平常心,常常加班,36.3k,143,333,"25,000,000"
37,日立家電 (台灣)股份有限公司,其他,臺北,有苦說不出,很少加班,41.8k,13,24,"160,000,000"
38,台灣日立江森自控股份有限公司（原：台灣日立）,消費性電子產品製造業,臺北,有苦說不出,常常加班,41k,95,111,"2,334,470,900"
39,中國信託金融控股股份有限公司,銀行業,臺北,平常心,偶爾加班,43.1k,140,533,"230,000,000,000"
40,COSTCO_好市多股份有限公司,百貨相關業,高雄,平常心,很少加班,35.7k,140,290,"19,100,000,000"
41,裕隆集團_納智捷汽車股份有限公司,其他,苗栗,平常心,偶爾加班,39k,18,20,"9,800,000,000"
42,中華電信股份有限公司,電信相關業,臺北,平常心,很少加班,47.1k,229,231,"120,000,000,000"
43,台灣大哥大股份有限公司,電信相關業,臺北,平常心,偶爾加班,37.3k,444,895,"60,000,000,000"
44,臺灣塑膠工業股份有限公司,塑膠製品製造業,高雄,平常心,偶爾加班,48.2k,292,327,"63,657,407,810"
45,緯創資通股份有限公司,電腦及其週邊設備製造業,新竹,平常心,偶爾加班,50.6k,1160,1326,"40,000,000,000"
46,緯創軟體股份有限公司,電腦軟體服務業,新北,平常心,很少加班,48.8k,190,361,"1,200,000,000"
47,元大金融控股股份有限公司 (元大金控) (元大證券) (元大銀行),金融控股業,臺北,平常心,偶爾加班,39.3k,159,347,"180,000,000,000"
48,全聯福利中心_全聯實業股份有限公司,量販流通相關業,臺北,平常心,偶爾加班,27.5k,445,1199,"3,600,000,000"
49,PChome Online_ 網路家庭國際資訊股份有限公司,網際網路相關業,臺北,平常心,偶爾加班,37.5k,306,669,"2,000,000,000"
50,聯詠科技股份有限公司,半導體製造業,新竹,平常心,常常加班,80.4k,171,114,"7,500,000,000"
51,陽明資訊股份有限公司,其他,臺北,有苦說不出,偶爾加班,37.6k,8,30,"25,000,000"
52,台新國際商業銀行股份有限公司,銀行業,臺北,平常心,偶爾加班,43.5k,445,930,"95,000,000,000"
53,台新金融控股股份有限公司,金融控股業,臺北,平常心,偶爾加班,47.4k,14,181,"200,000,000,000"
54,大立光電股份有限公司,光學器材製造業,臺中,有苦說不出,常常加班,39.9k,183,489,"2,000,000,000"
55,鴻海精密工業股份有限公司,消費性電子產品製造業,新北,平常心,偶爾加班,55.7k,910,796,"180,000,000,000"
56,中國鋼鐵股份有限公司,鋼鐵基本工業,高雄,平常心,很少加班,52.8k,128,29,"170,000,000,000"
57,(ASML)台灣艾司摩爾科技股份有限公司,半導體製造業,新竹,平常心,偶爾加班,69.3k,259,325,"300,000,000"
58,聯發科通訊股份有限公司,半導體製造業,臺南,-,-,-,0,125,"5,000,000"
59,MTK_聯發科技股份有限公司,半導體製造業,新竹,平常心,偶爾加班,84.5k,550,403,"20,000,000,000"
60,台達電子工業股份有限公司_DELTA ELECTRONICS INC.,其他電子零組件相關業,臺北,平常心,偶爾加班,52.7k,878,960,"40,000,000,000"
61,聯電_聯華電子股份有限公司,半導體製造業,新竹,平常心,偶爾加班,52.9k,816,676,"260,000,000,000"
62,LITEON_光寶科技股份有限公司,消費性電子產品製造業,臺北,平常心,偶爾加班,53.1k,609,529,"35,000,000,000"
63,Quanta Computer_廣達電腦股份有限公司,電腦及其週邊設備製造業,桃園,平常心,常常加班,51.3k,1013,1342,"46,000,000,000"
64,上銀科技股份有限公司,專用生產機械製造修配業,臺中,平常心,常常加班,40.6k,355,559,"10,000,000,000"
65,NCSIST 中科院_國家中山科學研究院,國防事業,桃園,平常心,很少加班,57k,306,206,0
66,日月光半導體製造股份有限公司（高雄廠）,半導體製造業,高雄,平常心,常常加班,42.4k,849,867,"95,000,000,000"
67,日月光半導體製造股份有限公司中壢分公司,半導體製造業,桃園,平常心,常常加班,44.8k,539,582,"95,000,000,000"
68,美商科磊股份有限公司,半導體製造業,新竹,平常心,偶爾加班,76.1k,77,83,"10,000,000"
69,COMPAL_仁寶電腦工業股份有限公司,電腦及其週邊設備製造業,臺北,平常心,常常加班,47.7k,1170,1321,"60,000,000,000"
70,交通部臺灣鐵路管理局,其他,臺北,平常心,很少加班,40.5k,35,43,"4,800,000,000"
71,強淞企業股份有限公司,其他,彰化,-,-,-,0,0,"456,000,000"
72,漢翔航空工業股份有限公司,航空器及其零件製造修配業,臺中,平常心,很少加班,36.3k,134,76,"15,000,000,000"
73,Unimicron_欣興電子股份有限公司,印刷電路板製造業(PCB),桃園,平常心,常常加班,42.3k,688,1012,"20,000,000,000"
74,ASUS_華碩電腦股份有限公司,電腦及其週邊設備製造業,臺北,平常心,偶爾加班,50.4k,1199,2086,"47,500,000,000"
75,IBM_台灣國際商業機器股份有限公司,電腦系統整合服務業,臺北,平常心,偶爾加班,65.1k,173,201,"363,833,856"
76,美商蘋果亞洲股份有限公司,電腦系統整合服務業,臺北,平常心,很少加班,89.5k,27,62,"29,500,000"
77,華映科技有限公司,其他,臺中,還算愉快,很少加班,47.7k,10,2,"12,000,000"
78,Phison Electronics Corp_群聯電子股份有限公司,IC設計相關業,新竹,平常心,常常加班,78.3k,227,473,"3,000,000,000"
79,穩懋半導體股份有限公司,半導體製造業,桃園,平常心,偶爾加班,45.2k,192,230,"10,000,000,000"
80,Qisda_佳世達科技股份有限公司,電腦及其週邊設備製造業,桃園,平常心,偶爾加班,52.5k,200,180,"50,000,000,000"
81,長春石油化學股份有限公司,化學原料製造業,臺北,有苦說不出,偶爾加班,49.8k,84,54,"7,151,862,870"
